store_id,name,prefecture,address,latitude,longitude,source_url
anjo,GiGO安城,愛知県,愛知県安城市百石町2-35-13,34.947353,137.072632,https://www.gigo.co.jp/shops/anjo
bisai,GiGO尾西,愛知県,愛知県一宮市篭屋3丁目9番7号,35.309498,136.771774,https://www.gigo.co.jp/shops/bisai
okazaki,GiGO岡崎,愛知県,愛知県岡崎市上地3-50-4,34.911594,137.168869,https://www.gigo.co.jp/shops/okazaki
kasugai,GiGO春日井,愛知県,愛知県春日井市岩野町菅廻間4180,35.268711,136.960602,https://www.gigo.co.jp/shops/kasugai
tomei-bowl,GiGO東名ボール,愛知県,愛知県瀬戸市西原町2丁目114,35.209000,137.063278,https://www.gigo.co.jp/shops/tomei-bowl
toyohashi-imure,GiGO豊橋飯村,愛知県,愛知県豊橋市飯村町字西山25-121,34.749901,137.413757,https://www.gigo.co.jp/shops/toyohashi-imure
toyota,GiGO豊田,愛知県,愛知県豊田市深田町1-65-1,35.067703,137.123779,https://www.gigo.co.jp/shops/toyota
kanayama,GiGO金山,愛知県,愛知県名古屋市熱田区金山1-19-2,35.142590,136.902313,https://www.gigo.co.jp/shops/kanayama
nagakute,GiGO長久手,愛知県,愛知県長久手市武蔵塚705,35.171337,137.045013,https://www.gigo.co.jp/shops/nagakute
d-suzuka,GiGO MEGAドン・キホーテUNY鈴鹿,三重県,三重県鈴鹿市南玉垣町3628 MEGAドン･キホーテUNY鈴鹿店2F,34.853081,136.582291,https://www.gigo.co.jp/shops/d-suzuka
matsusaka,GiGOアドバンスモール松阪,三重県,三重県松阪市田村町235-1,34.555119,136.512299,https://www.gigo.co.jp/shops/matsusaka
a-kuwana,GiGOクレーンゲームオアシス イオンモール桑名,三重県,三重県桑名市新西方1-22 イオンモール桑名三番街,35.072212,136.662552,https://www.gigo.co.jp/shops/a-kuwana
yokkaichi-ekimae,GiGOトナリエ四日市,三重県,三重県四日市市安島1-3-31 トナリエ四日市5F,34.968884,136.616714,https://www.gigo.co.jp/shops/yokkaichi-ekimae
hisai,GiGO久居,三重県,三重県津市久居明神町字風早2534-1,34.684696,136.462875,https://www.gigo.co.jp/shops/hisai
ise,GiGO伊勢,三重県,三重県伊勢市中須町666,34.492409,136.678467,https://www.gigo.co.jp/shops/ise
nabari,GiGO名張,三重県,三重県名張市希央台3番町15,34.623260,136.104126,https://www.gigo.co.jp/shops/nabari
kuwana,GiGO桑名,三重県,三重県桑名市江場1578 カラオケBANBAN桑名店1F,35.053654,136.683151,https://www.gigo.co.jp/shops/kuwana
ikuwa,GiGO生桑,三重県,三重県四日市市生桑町川原崎299-1,34.983887,136.600021,https://www.gigo.co.jp/shops/ikuwa
bowl-minami-hikone,GiGO BOWLビバシティ彦根,滋賀県,滋賀県彦根市竹ケ鼻町43番地1,35.244106,136.250107,https://www.gigo.co.jp/shops/bowl-minami-hikone
shiga-yokaichi,GiGOアル・プラザ八日市,滋賀県,滋賀県東近江市八日市浜野町3-1,35.114456,136.196274,https://www.gigo.co.jp/shops/shiga-yokaichi
